occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship
"1","Artemisia suksdorfii","Artemisia suksdorfii Piper","3121338","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Artemisia","Artemisia suksdorfii","Artemisia suksdorfii","Piper"
"2","Poa annua","Poa annua L.","2704179","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Poa","Poa annua","Poa annua","L."
"3","Lolium perenne","Lolium perenne L.","2706241","EXACT","98","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Lolium","Lolium perenne","Lolium perenne","L."
"4","Plantago lanceolata","Plantago lanceolata L.","8208358","EXACT","98","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","Plantago","Plantago lanceolata","Plantago lanceolata","L."
"5","Bromus hordeaceus","Bromus hordeaceus L.","2703777","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Bromus","Bromus hordeaceus","Bromus hordeaceus","L."
"6","Bromus tectorum","Bromus tectorum L.","2703746","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Bromus","Bromus tectorum","Bromus tectorum","L."
"7","Vicia sativa","Vicia sativa L.","2975014","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Vicia","Vicia sativa","Vicia sativa","L."
"8","Poa pratensis","Poa pratensis L.","2704178","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Poa","Poa pratensis","Poa pratensis","L."
"9","Rumex acetosella","Rumex acetosella L.","2888995","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Rumex","Rumex acetosella","Rumex acetosella","L."
"10","Vulpia myuros megalura","Vulpia myuros f. megalura (Nutt.) Stace & R.Cotton","5678955","EXACT","97","SYNONYM","FORM","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Festuca","Festuca myuros","Vulpia myuros megalura","(Nutt.) Stace & R.Cotton"
"11","Arbutus menziesii","Arbutus menziesii Pursh","2882802","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Arbutus","Arbutus menziesii","Arbutus menziesii","Pursh"
"12","Lotus corniculatus","Lotus corniculatus L.","5357013","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lotus","Lotus corniculatus","Lotus corniculatus","L."
"13","Trifolium dubium","Trifolium dubium Sibth.","5359429","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Trifolium","Trifolium dubium","Trifolium dubium","Sibth."
"14","Trifolium repens","Trifolium repens L.","5358748","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Trifolium","Trifolium repens","Trifolium repens","L."
"15","Trifolium subterraneum","Trifolium subterraneum L.","5359330","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Trifolium","Trifolium subterraneum","Trifolium subterraneum","L."
"16","Aira caryophyllea","Aira caryophyllea L.","7747216","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Aira","Aira caryophyllea","Aira caryophyllea","L."
"17","Hypochaeris radicata","Hypochaeris radicata L.","3093702","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Hypochaeris","Hypochaeris radicata","Hypochaeris radicata","L."
"18","Dactylis glomerata","Dactylis glomerata L.","2705308","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Dactylis","Dactylis glomerata","Dactylis glomerata","L."
"19","Bromus pacificus","Bromus pacificus Shear","2703653","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Bromus","Bromus pacificus","Bromus pacificus","Shear"
"20","Bellis perennis","Bellis perennis L.","3117424","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Bellis","Bellis perennis","Bellis perennis","L."
"21","Matricaria discoidea","Matricaria discoidea DC.","3103791","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Matricaria","Matricaria discoidea","Matricaria discoidea","DC."
